|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |4015|430-041|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОКТЯБРЬСКОМ РАЙОНЕ ГОРОДА КИРОВА| |
 |4016|430-042|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПЕРВОМАЙСКОМ РАЙОНЕ ГОРОДА КИРОВА| |
 |4017|430-043|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НОВОВЯТСКОМ РАЙОНЕ ГОРОДА КИРОВА| |
 |4018|430-044|ТП №1 ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕНИНСКОМ РАЙОНЕ ГОРОДА КИРОВА|31.12.2007|
 |4019|430-045|ТП в пос. Лянгасово ОУФМС России по Кировской области в Ленинском районе гор. Кирова| |
 |4020|430-045|ТП В ПОС. ЛЯНГАСОВО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕНИНСКОМ РАЙОНЕ Г. КИРОВА| |
 |4021|430-046|ТП В ПОС. РУДНИЧНЫЙ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ВЕРХНЕКАМСКОМ РАЙОНЕ|31.05.2015|
 |4022|430-046|Миграционный пункт в п. РУДНИЧНЫЙ ОУФМС России по Кировской Области в Верхнекамском районе| |
 |4023|430-047|ТП В ГОР. СОСНОВКА ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ВЯТСКОПОЛЯНСКОМ РАЙОНЕ|26.06.2011|
 |4024|430-048|ТП В ПОС. ВАХРУШИ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ|26.06.2011|
 |4025|430-048|ТП В ПОС. ВАХРУШИ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ|26.06.2011|
 |4026|430-049|ТП В ПОС. МУРЫГИНО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ|26.06.2011|
 |4027|430-050|ТП В ПОС. ПЕРВОМАЙСКИЙ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ|31.05.2014|
 |4028|430-050|Отделение УФМС России по Кировской области в Юрьянском районе| |
 |4029|430-051|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УРЖУМСКОМ РАЙОНЕ| |
 |4030|430-052|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ФАЛЕНСКОМ РАЙОНЕ| |
 |4031|430-054|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ| |
 |4032|430-055|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЯРАНСКОМ РАЙОНЕ| |
 |4033|430-501|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХНЕКАМСКОМ Р-НЕ| |
 |4034|430-601|ТП В П. РУДНИЧНЫЙ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХНЕКАМСКОМ Р-НЕ| |
 |4035|430-701|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЕРХОШИЖЕМСКОМ Р-НЕ| |
 |4036|430-801|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЯТСКОПОЛЯНСКОМ Р-НЕ| |
 |4037|430-901|ТП В Г. СОСНОВКА ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ВЯТСКОПОЛЯНСКОМ Р-НЕ| |
 |4038|431-001|УВД ПО КИРОВСКОЙ ОБЛАСТИ|31.12.2007|
 |4039|431-101|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЗУЕВСКОМ Р-НЕ| |
 |4040|431-201|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В КИКНУРСКОМ Р-НЕ| |
 |4041|431-301|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В КИЛЬМЕЗСКОМ Р-НЕ| |
 |4042|431-401|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В К-ЧЕПЕЦКОМ Р-НЕ| |
 |4043|431-501|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. КОТЕЛЬНИЧ| |
 |4044|431-601|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ| |
 |4045|431-602|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПОС. КУМЕНЫ (ОФИС В П. БОГОРОДСКОЕ)| |
 |4046|431-801|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЛУЗСКОМ Р-НЕ| |
 |4047|431-901|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В МАЛМЫЖСКОМ Р-НЕ| |
 |4048|432-001|ОВД АРБАЖСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4049|432-002|ОВД АФАНАСЬЕВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4050|432-003|ОВД БЕЛОХОЛУНИЦКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4051|432-004|ОВД БОГОРОДСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4052|432-005|ОВД ВЕРХНЕКАМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4053|432-006|ОВД ВЕРХОШИЖЕМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4054|432-007|ОВД ВЯТСКО-ПОЛЯНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4055|432-008|ОВД ДАРОВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4056|432-009|ОВД ЗУЕВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4057|432-010|ОВД КИКНУРСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4058|432-011|ОВД КИЛЬМЕЗСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4059|432-012|ОВД КИРОВО-ЧЕПЕЦКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4060|432-013|ОВД КОТЕЛЬНИЧСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4061|432-014|ОВД КУМЕНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4062|432-015|ОВД ЛЕБЯЖСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4063|432-016|ОВД ЛУЗСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4064|432-017|ОВД МАЛМЫЖСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4065|432-018|ОВД МУРАШИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4066|432-019|ОВД НАГОРСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4067|432-020|ОВД НЕМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4068|432-021|ОВД НОЛИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4069|432-022|ОВД ОМУТНИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4070|432-023|ОВД ОПАРИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4071|432-024|ОВД ОРИЧЕВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4072|432-025|ОВД ОРЛОВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4073|432-026|ОВД ПИЖАНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4074|432-027|ОВД ПОДОСИНОВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4075|432-028|ОВД САНЧУРСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4076|432-029|ОВД СВЕЧИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4077|432-030|ОВД СЛОБОДСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4078|432-031|ОВД СОВЕТСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4079|432-032|ОВД СУНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4080|432-033|ОВД ТУЖИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4081|432-034|ОВД УНИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4082|432-035|ОВД УРЖУМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4083|432-036|ОВД ФАЛЕНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4084|432-037|ОВД ШАБАЛИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4085|432-038|ОВД ЮРЬЯНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4086|432-039|ОВД ЯРАНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4087|432-040|УВД ЛЕНИНСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4088|432-041|ОВД ОКТЯБРЬСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4089|432-042|ОВД ПЕРВОМАЙСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4090|432-043|ОВД НОВОВЯТСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4091|432-101|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В НАГОРСКОМ Р-НЕ| |
 |4092|432-301|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. НОЛИНСК| |
 |4093|432-302|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г. НОЛИНСК (ОФИС В П. СУНА)| |
 |4094|432-401|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ОМУТНИНСКОМ Р-НЕ| |
 |4095|432-501|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ОПАРИНСКОМ Р-НЕ| |
 |4096|432-601|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ОРИЧЕВСКОМ Р-НЕ| |
 |4097|432-701|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ОРЛОВСКОМ Р-НЕ| |
 |4098|432-901|ТП УФМС РФ ПО КИРОВСКОЙ ОБЛ. В ПОДОСИНОВСКОМ Р-НЕ| |
 |4099|433-001|ЛЯНГАСОВСКОЕ ПОМ ЛЕНИНСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4100|433-002|КОМИНТЕРНОВСКОЕ ГОМ ПЕРВОМАЙСКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4101|433-003|РАДУЖНИНСКОЕ ПОМ КИРОВО-ЧЕПЕЦКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4102|433-003|РАДУЖНИНСКОЕ ПОМ КИРОВО-ЧЕПЕЦКОГО Р-НА Г. КИРОВА|31.12.2007|
 |4103|433-004|ВАХРУШЕВСКОЕ ПОМ СЛОБОДСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4104|433-005|СОСНОВСКОЕ ГОМ ВЯТСКО-ПОЛЯНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4105|433-006|ЛЕСНОЕ ПОМ ВЕРХНЕКАМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4106|433-007|РУДНИЧНОЕ ПОМ ВЕРХНЕКАМСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4107|433-008|КРАСНОПОЛЯНСКОЕ ПОМ ВЯТСКО-ПОЛЯНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4108|433-009|ПЕСКОВСКОЕ ПОМ ОМУТНИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4109|433-010|ДЕМЬЯНОВСКОЕ ПОМ ПОДОСИНОВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4110|433-011|ПИНЮГСКОЕ ПОМ ПОДОСИНОВСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4111|433-012|МУРЫГИНСКОЕ ПОМ ЮРЬЯНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4112|433-013|2 ОМ УВД КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4113|433-013|2 ОМ УВД КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4114|433-014|4 ОВД ОМУТНИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4115|433-014|4 ОВД ОМУТНИНСКОГО Р-НА КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4116|433-015|ОМ ЗАТО ПОС. ПЕРВОМАЙСКИЙ КИРОВСКОЙ ОБЛ.|31.12.2007|
 |4117|433-016|6 ОМ УВД КИРОВСКОЙ ОБЛАСТИ|31.12.2007|
 |4118|433-016|6 ОМ УВД КИРОВСКОЙ ОБЛАСТИ|31.12.2007|
 |4119|433-201|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В СЛОБОДСКОМ Р-НЕ| |
 |4120|433-301|ТП В П.ВАХРУШИ ОТДЕЛЕНИЯ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В СЛОБОДСКОМ Р-НЕ| |
 |4121|433-801|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В УРЖУМСКОМ Р-НЕ| |
 |4122|433-901|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ФАЛЕНСКОМ Р-НЕ| |
 |4123|434-001|ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ШАБАЛИНСКОМ Р-НЕ| |
 |4124|434-101|ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЮРЬЯНСКОМ Р-НЕ| |
 |4125|434-201|ТП В П. ПЕРВОМАЙСКИЙ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЮРЬЯНСКОМ Р-НЕ| |
 |4126|434-301|ТП В П. МУРЫГИНО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЮРЬЯНСКОМ Р-НЕ| |
 |4127|434-401|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г.ЯРАНСКЕ| |
 |4128|434-402|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В Г.ЯРАНСКЕ (ОФИС В П.ТУЖА)| |
 |4129|434-501|ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ Г.КИРОВА| |
 |4130|434-601|ТП В П.ЛЯНГАСОВО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ЛЕНИНСКОМ Р-НЕ Г.КИРОВА| |
 |4131|434-701|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ОКТЯБРЬСКОМ Р-НЕ Г. КИРОВА| |
 |4132|434-801|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В ПЕРВОМАЙСКОМ Р-НЕ Г. КИРОВА| |
 |4133|434-901|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛ. В НОВОВЯТСКОМ Р-НЕ Г.КИРОВА| |
 |4134|440-000|УПРАВЛЕНИЕ ФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ| |
 |4135|440-001|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ЦЕНТРАЛЬНОМ ОКРУГЕ ГОР. КОСТРОМЫ| |
 |4136|440-001|ОТДЕЛ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ЦЕНТРАЛЬНОМ ОКРУГЕ ГОР. КОСТРОМЫ|19.06.2011|
 |4137|440-002|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ФАБРИЧНОМ ОКРУГЕ ГОР. КОСТРОМЫ| |
 |4138|440-002|ОТДЕЛ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ФАБРИЧНОМ ОКРУГЕ ГОР. КОСТРОМЫ|19.06.2011|
 |4139|440-003|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ЗАВОЛЖСКОМ ОКРУГЕ ГОР. КОСТРОМЫ| |
 |4140|440-004|ОТДЕЛ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ДАВЫДОВСКОМ ОКРУГЕ ГОР. КОСТРОМЫ|19.06.2011|
 |4141|440-004|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ДАВЫДОВСКОМ ОКРУГЕ ГОР. КОСТРОМЫ| |
 |4142|440-005|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В КОСТРОМСКОМ РАЙОНЕ| |
 |4143|440-006|Территориальный пункт УФМС России по Костромской области в п. Антропово| |
 |4144|440-006|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В АНТРОПОВСКОМ РАЙОНЕ| |
 |4145|440-007|Отдел УФМС России по Костромской области в г. Буй| |
 |4146|440-007|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В БУЙСКОМ РАЙОНЕ|31.05.2014|
 |4147|440-008|Территориальный пункт УФМС России по Костромской области в п. Вохма| |
 |4148|440-008|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ВОХОМСКОМ РАЙОНЕ| |
 |4149|440-009|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ГАЛИЧСКОМ РАЙОНЕ|17.06.2013|
 |4150|440-009|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ГАЛИЧСКОМ РАЙОНЕ| |
 |4151|440-010|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В КАДЫЙСКОМ РАЙОНЕ| |
 |4152|440-011|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В КОЛОГРИВСКОМ РАЙОНЕ| |
 |4153|440-012|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В КРАСНОСЕЛЬСКОМ РАЙОНЕ| |
 |4154|440-013|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В МАКАРЬЕВСКОМ РАЙОНЕ| |
 |4155|440-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В МАНТУРОВСКОМ РАЙОНЕ|31.05.2014|
 |4156|440-014|Отдел УФМС России по Костромской области в г. Мантурово| |
 |4157|440-015|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В МЕЖЕВСКОМ РАЙОНЕ| |
 |4158|440-016|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В НЕЙСКОМ РАЙОНЕ|31.05.2015|
 |4159|440-016|Миграционный пункт УФМС России по Костромской области в г. Нея| |
 |4160|440-017|ОТДЕЛЕНИЕ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В НЕРЕХТСКОМ РАЙОНЕ|19.08.2014|
 |4161|440-017|Отдел УФМС России по Костромской области в г. Нерехта| |
 |4162|440-017|Отделение УФМС России по Костромской области в г. Нерехта и Нерехтском районе|31.05.2015|
 |4163|440-018|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ОКТЯБРЬСКОМ РАЙОНЕ| |
 |4164|440-019|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ОСТРОВСКОМ РАЙОНЕ| |
 |4165|440-020|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ПАВИНСКОМ РАЙОНЕ| |
 |4166|440-021|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ПАРФЕНЬЕВСКОМ РАЙОНЕ| |
 |4167|440-022|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ПОНАЗЫРЕВСКОМ РАЙОНЕ| |
 |4168|440-023|Территориальный пункт УФМС России по Костромской области в с. Пыщуг| |
 |4169|440-023|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ПЫЩУГСКОМ РАЙОНЕ| |
 |4170|440-024|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В СОЛИГАЛИЧСКОМ РАЙОНЕ| |
 |4171|440-025|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В СУДИСЛАВСКОМ РАЙОНЕ|31.05.2015|
 |4172|440-025|Миграционный пункт УФМС России по Костромской области в п. Судиславль| |
 |4173|440-026|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В СУСАНИНСКОМ РАЙОНЕ| |
 |4174|440-027|ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ЧУХЛОМСКОМ РАЙОНЕ| |
 |4175|440-028|ОТДЕЛ УФМС РОССИИ ПО КОСТРОМСКОЙ ОБЛАСТИ В ШАРЬИНСКОМ РАЙОНЕ|18.08.2014|
 |4176|440-028|Отдел УФМС России по Костромской области в г. Шарья и Шарьинском районе| |
